# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	2.1287373e-12	-6.811959e-11	-6.386212e-12	0	0	0
0	0.00089674187	-1.192093e-10	-1.7029898e-11	0.005	0	0
0	0.001794043	-1.3623919e-10	1.9158636e-11	0.01	0	0
0	0.0026924668	1.0217939e-10	1.4901162e-11	0.014999993	0	0
0	0.0035926148	5.1089695e-11	-4.2574746e-12	0.02	0	0
0	0.0044951364	-1.7029898e-10	-1.7029898e-11	0.024999995	0	0
0	0.0054007694	-6.811959e-11	0	0.029999986	0	0
0	0.0063103703	1.2772423e-10	0	0.03500001	0	0
0	0.007224981	-1.7029898e-11	-4.2574746e-12	0.04	0	0
0	0.00814592	1.7029898e-11	-8.514949e-12	0.045000006	0	0
0	0.009074991	-1.7029898e-11	0	0.04999999	0	0
0	0.010014822	1.5326909e-10	-2.7673586e-11	0.054999992	0	0
0	0.010969744	6.811959e-11	2.1287373e-12	0.059999973	0	0
0	0.011948286	-1.0217939e-10	0	0.06500003	0	0
0	0.012975729	1.0217939e-10	2.9802324e-11	0.07000002	0	0
0	0.018519945	-1.06436866e-10	-2.1287373e-12	0.07500002	0	0
0	0.024334509	2.4267605e-10	1.4235931e-11	0.08	0	0
0	0.026208632	3.7465778e-10	8.514949e-12	0.085000016	0	0
0	0.028154088	3.7465778e-10	2.1287373e-12	0.09000001	0	0
0	0.030214535	-6.599086e-11	-2.7673586e-11	0.09500002	0	0
0	0.032522168	0	-5.4016708e-11	0.09999998	0	0
0	0.035267714	3.4059797e-10	-1.17080555e-11	0.10500001	0	0
0	0.038094368	1.2772423e-10	-4.2574746e-12	0.109999985	0	0
0	0.040658403	2.5544847e-10	2.208565e-11	0.114999995	0	0
0	0.0431475	4.683222e-10	2.0223004e-11	0.119999945	0	0
0	0.04570642	6.471361e-10	-3.938164e-11	0.125	0	0
0	0.048393458	6.3010624e-10	-3.8317273e-11	0.13000005	0	0
0	0.05125799	6.8119593e-10	-1.9158636e-11	0.135	0	0
0	0.054357696	9.877341e-10	-3.7785088e-11	0.14000005	0	0
0	0.057764143	6.7268097e-10	5.2686248e-11	0.145	0	0
0	0.061584786	7.833753e-10	-1.3836793e-11	0.15000004	0	0
0	0.06597906	1.5412058e-09	1.6497715e-11	0.155	0	0
0	0.07121497	2.465078e-09	6.386212e-11	0.16	0	0
0	0.07779628	2.9291425e-09	-1.9158636e-11	0.16499998	0	0
0	0.086869076	2.6651792e-09	5.641154e-11	0.17000003	0	0
0	0.102490254	1.9626958e-09	4.2574746e-12	0.17500001	0	0
0	0.14496076	2.4884939e-09	-4.8960957e-11	0.18000002	0	0
0	0.15137649	1.3442976e-09	4.41713e-11	0.18499996	0	0
0	0.15529107	7.1099826e-10	2.0010131e-10	0.19000004	0	0
0	0.17115828	-2.3416111e-11	-5.508108e-11	0.195	0	0
0	0.17116041	-1.192093e-10	7.876328e-11	0.19999996	0	0
0	0.17116253	5.2154066e-11	-1.4049666e-10	0.20499995	0	0
0	0.17116459	-1.43689765e-11	-1.00050655e-10	0.21000002	0	0
0	0.17116658	5.7475906e-11	-1.596553e-10	0.21500003	0	0
0	0.17116858	2.71414e-11	1.596553e-11	0.21999997	0	0
0	0.17117052	3.4059797e-11	-2.5651284e-10	0.22499995	0	0
0	0.17117244	-5.3218433e-11	-3.7252902e-11	0.22999999	0	0
0	0.17117432	-8.940697e-11	-2.7354274e-10	0.23500003	0	0
0	0.17117615	7.078051e-11	-3.8317273e-11	0.23999989	0	0
0	0.17117797	-7.078051e-11	-7.024833e-11	0.24499992	0	0
0	0.17117974	-7.344144e-11	2.990876e-10	0.25	0	0
0	0.1711815	2.7673586e-11	9.7921914e-11	0.25500008	0	0
0	0.17118321	2.71414e-11	1.9158636e-11	0.2600001	0	0
0	0.17118488	1.0643686e-12	-8.0892015e-11	0.26499993	0	0
0	0.17118655	-1.2772423e-10	-9.047134e-11	0.27	0	0
0	0.17118818	-1.9477947e-10	1.1042825e-10	0.27500007	0	0
0	0.17118981	-8.0892015e-11	-8.514949e-12	0.2800001	0	0
0	0.17119141	-6.226557e-11	-1.4901162e-11	0.28499997	0	0
0	0.17119297	-1.1175871e-11	1.5220472e-10	0.29	0	0
0	0.17119451	-4.0446008e-11	1.5060816e-10	0.29500005	0	0
0	0.17119603	-2.1287373e-10	-8.83426e-11	0.30000007	0	0
0	0.1711975	-9.579318e-12	4.8162682e-11	0.30499998	0	0
0	0.17119898	6.386212e-12	-7.051442e-11	0.31	0	0
0	0.17120042	-6.492649e-11	-2.543841e-10	0.315	0	0
0	0.17120185	-5.800809e-11	1.5114035e-10	0.32	0	0
0	0.17120324	-7.1844884e-11	1.5646219e-10	0.32499993	0	0
0	0.17120463	1.1175871e-11	7.344144e-11	0.32999995	0	0
0	0.171206	-3.9913826e-11	1.2133802e-10	0.335	0	0
0	0.17120738	2.075519e-11	8.781041e-12	0.34000006	0	0
0	0.1712087	3.086669e-11	-3.7252902e-11	0.34499994	0	0
0	0.17120999	-4.2574746e-12	-1.4076275e-10	0.35000002	0	0
0	0.1712087	1.3836793e-11	-3.4059797e-11	0.34499994	0	0
0	0.17120738	-1.4901162e-11	1.0324376e-10	0.34000006	0	0
0	0.171206	-5.3218432e-12	1.4156103e-10	0.335	0	0
0	0.17120464	5.960465e-11	1.09097786e-10	0.32999995	0	0
0	0.17120324	-7.13127e-11	-4.8960957e-11	0.32499993	0	0
0	0.17120185	-1.2453114e-10	7.024833e-11	0.32	0	0
0	0.17120042	8.514949e-12	-1.0962997e-10	0.315	0	0
0	0.17119896	-1.4901162e-11	-1.4395586e-10	0.31	0	0
0	0.1711975	3.193106e-12	2.8737953e-11	0.30499998	0	0
0	0.17119601	-5.800809e-11	-5.7475906e-11	0.30000007	0	0
0	0.17119451	-1.0111502e-11	1.7455647e-10	0.29500005	0	0
0	0.17119297	2.3416111e-11	2.9802324e-11	0.29	0	0
0	0.17119141	-5.055751e-11	-7.237707e-11	0.28499997	0	0
0	0.17118981	-1.0324376e-10	9.5260994e-11	0.2800001	0	0
0	0.17118819	-1.4794724e-10	6.386212e-11	0.27500007	0	0
0	0.17118655	-1.7881394e-10	-2.2032431e-10	0.27	0	0
0	0.17118488	3.086669e-11	-2.2883926e-11	0.26499993	0	0
0	0.1711832	1.2187021e-10	2.7034963e-10	0.2600001	0	0
0	0.1711815	5.42828e-11	1.1069434e-10	0.25500008	0	0
0	0.17117974	1.8892543e-10	1.2080584e-10	0.25	0	0
0	0.17117797	-6.705522e-11	-1.9158636e-11	0.24499992	0	0
0	0.17117617	-3.672072e-11	-1.2985298e-10	0.23999989	0	0
0	0.17117432	-9.3664444e-11	-2.1606683e-10	0.23500003	0	0
0	0.17117244	5.534717e-11	1.0324376e-10	0.22999999	0	0
0	0.17117052	-3.7785088e-11	-3.0973127e-10	0.22499995	0	0
0	0.17116857	1.02711575e-10	1.3677137e-10	0.21999997	0	0
0	0.17116661	2.6609217e-11	-2.0755189e-10	0.21500002	0	0
0	0.17116459	8.14242e-11	2.1287373e-12	0.21000002	0	0
0	0.17116253	8.83426e-11	-1.1069434e-10	0.20499995	0	0
0	0.17116041	-1.4422195e-10	-1.3623919e-10	0.19999996	0	0
0	0.17115828	1.17080555e-11	-9.605927e-11	0.195	0	0
0	0.17115611	-1.2133802e-10	-1.255955e-10	0.19000004	0	0
0	0.17115387	1.0111502e-10	2.884439e-10	0.18499996	0	0
0	0.1711516	-6.9183964e-11	-7.024833e-11	0.18000002	0	0
0	0.17114927	-1.7881394e-10	-3.7731868e-10	0.17500001	0	0
0	0.1711469	-8.621386e-11	-1.5433345e-10	0.17000003	0	0
0	0.1711445	-7.769891e-11	-3.7785088e-11	0.16499998	0	0
0	0.171142	-1.9158636e-11	3.8104397e-10	0.16	0	0
0	0.17113948	-1.6497714e-10	-3.2037498e-10	0.155	0	0
0	0.17113689	6.279775e-11	-2.51191e-10	0.15000004	0	0
0	0.17113425	-2.1287373e-12	1.3091735e-10	0.145	0	0
0	0.17113152	-2.3416111e-11	-2.1074499e-10	0.14000005	0	0
0	0.17112875	-5.3218433e-11	-3.5762787e-10	0.135	0	0
0	0.1711259	1.0643686e-12	3.0440944e-10	0.13000005	0	0
0	0.17112298	6.386212e-12	-1.1601618e-10	0.125	0	0
0	0.17111999	-6.066901e-11	-6.9183964e-11	0.119999945	0	0
0	0.17111693	7.4505804e-11	-6.6523044e-11	0.114999995	0	0
0	0.17111377	-3.0334507e-10	-2.4586916e-10	0.109999985	0	0
0	0.17111054	6.492649e-11	-5.534717e-11	0.10500001	0	0
0	0.17110722	-1.0217939e-10	-1.3730356e-10	0.09999998	0	0
0	0.17110378	-8.514949e-12	-2.71414e-10	0.09500002	0	0
0	0.17110027	-4.246831e-10	-1.5646219e-10	0.09000001	0	0
0	0.17109664	-8.940697e-11	-5.641154e-11	0.085000016	0	0
0	0.17109291	-1.6604151e-10	-9.7921914e-11	0.08	0	0
0	0.17108908	-7.237707e-11	-5.3511134e-10	0.07500002	0	0
0	0.17108509	3.6188535e-11	2.51191e-10	0.07000002	0	0
0	0.17108099	-7.769891e-11	-2.2351741e-10	0.06500003	0	0
0	0.17107679	-2.9802324e-11	2.9695885e-10	0.059999973	0	0
0	0.17107241	-8.302076e-11	-1.1282308e-10	0.054999992	0	0
0	0.1710679	7.13127e-11	8.0892015e-11	0.04999999	0	0
0	0.1710632	4.789659e-11	3.299543e-11	0.045000006	0	0
0	0.17105833	-1.4901162e-11	3.022807e-10	0.04	0	0
0	0.17105329	-1.7242772e-10	-1.7455647e-10	0.03500001	0	0
