# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-6.386212e-12	-1.0217939e-10	-1.2772424e-11	0	0	0
0	4.2574746e-12	1.6830223e-06	0	0	0.005	0
0	1.4901162e-11	3.367126e-06	8.514949e-12	0	0.01	0
0	-4.3639117e-11	5.0549847e-06	-4.2574746e-12	0	0.014999993	0
0	-3.086669e-11	6.7481483e-06	4.2574746e-12	0	0.02	0
0	-1.3836793e-11	8.44815e-06	-1.7029898e-11	0	0.024999995	0
0	6.386212e-12	1.0156529e-05	1.06436865e-11	0	0.029999986	0
0	-1.0643686e-12	1.1876294e-05	-8.514949e-12	0	0.03500001	0
0	5.3218432e-12	1.3607893e-05	1.9158636e-11	0	0.04	0
0	-4.2574746e-11	1.535402e-05	1.7029898e-11	0	0.045000006	0
0	3.193106e-12	1.7116614e-05	0	0	0.04999999	0
0	-2.1287373e-12	1.88975e-05	4.2574746e-12	0	0.054999992	0
0	-1.9158636e-11	2.069973e-05	0	0	0.059999973	0
0	-1.06436865e-11	2.2524646e-05	2.3416111e-11	0	0.06500003	0
0	-4.8960957e-11	2.4374978e-05	-6.386212e-12	0	0.07000002	0
0	2.1287373e-12	2.6253769e-05	-1.7029898e-11	0	0.07500002	0
0	3.5124164e-11	2.8163246e-05	-1.9158636e-11	0	0.08	0
0	-2.1287373e-12	3.0106501e-05	1.06436865e-11	0	0.085000016	0
0	-2.1287373e-12	3.208695e-05	2.1287373e-12	0	0.09000001	0
0	-2.4480478e-11	3.4107532e-05	0	0	0.09500002	0
0	-2.2351742e-11	3.617239e-05	4.2574746e-12	0	0.09999998	0
0	-1.2772424e-11	3.8285656e-05	2.1287373e-12	0	0.10500001	0
0	-1.4901162e-11	4.0451458e-05	-2.1287373e-12	0	0.109999985	0
0	-3.8317273e-11	4.2674455e-05	1.06436865e-11	0	0.114999995	0
0	9.579318e-12	4.496021e-05	-4.2574746e-12	0	0.119999945	0
0	1.3836793e-11	4.731574e-05	-1.2772424e-11	0	0.125	0
0	2.1287373e-12	4.9746308e-05	-1.2772424e-11	0	0.13000005	0
0	-6.386212e-12	5.22605e-05	-1.4901162e-11	0	0.135	0
0	0	5.4866585e-05	2.3416111e-11	0	0.14000005	0
0	2.1287373e-12	5.757456e-05	-6.386212e-12	0	0.145	0
0	2.1287373e-12	6.039638e-05	-1.7029898e-11	0	0.15000004	0
0	-6.386212e-12	6.3345586e-05	-8.514949e-12	0	0.155	0
0	1.17080555e-11	6.643787e-05	-6.386212e-12	0	0.16	0
0	3.193106e-12	6.969265e-05	1.06436865e-11	0	0.16499998	0
0	-2.6609217e-11	7.31343e-05	4.2574746e-12	0	0.17000003	0
0	0	7.679333e-05	2.1287373e-12	0	0.17500001	0
0	-4.2574746e-11	8.0707854e-05	-1.3836793e-11	0	0.18000002	0
0	-4.2574746e-11	8.4931205e-05	0	0	0.18499996	0
0	5.3218433e-11	8.9537825e-05	-6.386212e-12	0	0.19000004	0
0	3.193106e-11	9.463947e-05	0	0	0.195	0
0	-6.811959e-11	0.00010042707	-2.1287373e-12	0	0.19999996	0
0	-4.6832222e-11	0.00010727675	8.514949e-12	0	0.20499995	0
0	7.876328e-11	0.0001162273	-2.1287373e-12	0	0.21000002	0
0	3.0440944e-10	0.17134327	-5.1089695e-11	0	0.21500002	0
0	7.078051e-11	0.17134394	-6.386212e-11	0	0.21999997	0
0	2.0223004e-11	0.17134465	2.5544847e-11	0	0.22499995	0
0	-4.8960957e-11	0.17134534	-2.5544847e-11	0	0.22999999	0
0	-1.43689765e-11	0.17134602	1.7029898e-11	0	0.23500003	0
0	0	0.1713467	-8.514949e-12	0	0.23999989	0
0	5.907246e-11	0.17134733	1.2772424e-11	0	0.24499992	0
0	-7.610236e-11	0.17134799	-8.514949e-12	0	0.25	0
0	-6.12012e-11	0.17134863	8.514949e-12	0	0.25500008	0
0	-7.876328e-11	0.17134926	0	0	0.2600001	0
0	-7.1844884e-11	0.17134987	-8.514949e-12	0	0.26499993	0
0	2.075519e-11	0.17135048	2.5544847e-11	0	0.27	0
0	-9.313226e-11	0.17135108	8.514949e-12	0	0.27500007	0
0	-4.2574746e-11	0.17135167	-1.2772424e-11	0	0.2800001	0
0	-4.3639117e-11	0.17135227	4.2574746e-11	0	0.28499997	0
0	1.2772424e-11	0.17135285	7.6634546e-11	0	0.29	0
0	-9.100352e-11	0.17135341	3.4059797e-11	0	0.29500005	0
0	-2.3416111e-11	0.17135397	2.5544847e-11	0	0.30000007	0
0	1.7562082e-11	0.17135449	-7.6634546e-11	0	0.30499998	0
0	-1.43689765e-11	0.17135505	1.7029898e-11	0	0.31	0
0	-7.9295466e-11	0.1713556	-3.4059797e-11	0	0.315	0
0	-1.17080555e-11	0.17135613	2.5544847e-11	0	0.32	0
0	-2.9802324e-11	0.17135665	2.5544847e-11	0	0.32499993	0
0	1.0643686e-12	0.17135718	1.7029898e-11	0	0.32999995	0
0	3.7252902e-11	0.17135768	3.4059797e-11	0	0.335	0
0	2.0223004e-11	0.17135817	-4.2574746e-11	0	0.34000006	0
0	-9.579318e-12	0.17135867	-5.534717e-11	0	0.34499994	0
0	-2.5544847e-11	0.17135918	5.534717e-11	0	0.35000002	0
0	-2.4480478e-11	0.17135869	-3.4059797e-11	0	0.34499994	0
0	2.1819558e-11	0.17135817	8.514949e-12	0	0.34000006	0
0	1.7562082e-11	0.17135768	2.5544847e-11	0	0.335	0
0	-1.3304608e-11	0.17135718	8.514949e-12	0	0.32999995	0
0	-6.9183964e-11	0.17135665	2.5544847e-11	0	0.3249999	0
0	-2.8737953e-11	0.17135613	8.514949e-12	0	0.32	0
0	-7.344144e-11	0.1713556	1.2772424e-11	0	0.315	0
0	1.8094267e-11	0.17135507	1.7029898e-11	0	0.31	0
0	-7.450581e-12	0.17135453	-2.9802324e-11	0	0.30499998	0
0	-2.2351742e-11	0.17135397	0	0	0.30000007	0
0	-7.1844884e-11	0.17135341	0	0	0.29500005	0
0	1.7029898e-11	0.17135285	6.811959e-11	0	0.29	0
0	-6.865178e-11	0.17135228	3.8317273e-11	0	0.28499997	0
0	-3.086669e-11	0.17135167	1.7029898e-11	0	0.2800001	0
0	-5.907246e-11	0.17135108	0	0	0.27500007	0
0	3.193106e-12	0.1713505	2.5544847e-11	0	0.27	0
0	-2.820577e-11	0.17134987	1.2772424e-11	0	0.26499993	0
0	-6.6523044e-11	0.17134926	1.7029898e-11	0	0.2600001	0
0	-2.6609216e-12	0.17134863	-1.2772424e-11	0	0.25500008	0
0	-7.610236e-11	0.17134798	0	0	0.25	0
0	6.492649e-11	0.17134733	4.6832222e-11	0	0.24499992	0
0	2.075519e-11	0.1713467	-4.2574746e-11	0	0.23999989	0
0	-4.2574746e-11	0.17134602	2.5544847e-11	0	0.23500003	0
