# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-4.8033395e-09	0.9902628	8.424123e-11	0	0	0
0	0.060539987	0.97430855	-2.5431315e-10	0.001	0	0
0	0.064286314	0.9739325	3.5603842e-10	0.002	0	0
0	0.06802422	0.973546	2.5431315e-11	0.003	0	0
0	0.07175429	0.9731489	1.4940897e-10	0.004	0	0
0	0.075476944	0.97274107	-2.1855036e-10	0.005	0	0
0	0.079192445	0.9723225	-1.9470851e-10	0.006	0	0
0	0.082901105	0.9718929	-5.086263e-10	0.007	0	0
0	0.08660345	0.9714523	-1.748403e-10	0.008	0	0
0	0.09029939	0.97100073	4.529953e-11	0.009	0	0
0	0.093989305	0.9705379	1.04904176e-10	0.01	0	0
0	0.097673655	0.97006375	1.9868215e-11	0.011000001	0	0
0	0.10135225	0.9695783	2.0345052e-10	0.012	0	0
0	0.10502555	0.9690816	-3.6517778e-10	0.013	0	0
0	0.1086936	0.9685732	-2.3961066e-10	0.014	0	0
0	0.11235685	0.96805334	-5.4836274e-11	0.014999999	0	0
0	0.116015024	0.96752185	1.1126201e-10	0.016	0	0
0	0.1196697	0.96697855	-3.417333e-11	0.017000003	0	0
0	0.12331724	0.9664243	0	0.018	0	0
0	0.1269616	0.9658579	-2.0345052e-10	0.019	0	0
0	0.13060158	0.9652797	-5.086263e-10	0.02	0	0
0	0.13423717	0.9646898	-4.053116e-11	0.021	0	0
0	0.13786878	0.9640878	-1.0172526e-10	0.022000002	0	0
0	0.14149617	0.9634743	3.814697e-11	0.023	0	0
0	0.14511958	0.96284866	-1.5815099e-10	0.024	0	0
0	0.14873907	0.96221113	1.0172526e-10	0.025	0	0
0	0.15235461	0.9615617	2.5351843e-10	0.026	0	0
0	0.15596649	0.9609	2.4875005e-10	0.027	0	0
0	0.1595745	0.96022666	2.3523966e-10	0.028	0	0
0	0.16317886	0.959541	2.2411346e-10	0.029	0	0
0	0.1667798	0.95884335	1.001358e-10	0.029999997	0	0
0	0.17037709	0.95813346	0	0.030999998	0	0
0	0.17397088	0.95741135	-3.0517577e-10	0.032	0	0
0	0.17756107	0.9566773	1.0172526e-10	0.032999996	0	0
0	0.18114804	0.9559308	-4.0690104e-10	0.034000006	0	0
0	0.18473156	0.9551722	-3.0557315e-10	0.035	0	0
0	0.1883115	0.95440143	-8.583069e-11	0.036	0	0
0	0.19188832	0.95361835	-1.00334484e-10	0.037	0	0
0	0.19546196	0.9528229	3.4014383e-10	0.038	0	0
0	0.19903232	0.952015	-3.0120215e-10	0.039000005	0	0
0	0.20259939	0.9511949	-3.0517577e-10	0.04	0	0
0	0.20616332	0.9503625	-6.635984e-11	0.041000005	0	0
0	0.20972387	0.9495177	5.412102e-10	0.042	0	0
0	0.21328145	0.94866043	4.0690104e-10	0.043	0	0
0	0.2168359	0.94779086	3.0517577e-10	0.044000003	0	0
0	0.22038743	0.9469084	-3.496806e-11	0.045	0	0
0	0.22393557	0.94601387	-8.742015e-11	0.046	0	0
0	0.22748086	0.9451067	0	0.047	0	0
0	0.23102304	0.9441871	1.0172526e-10	0.048	0	0
0	0.23456334	0.9432545	2.336502e-10	0.049	0	0
0	0.23809828	0.9423101	-1.2477239e-10	0.05	0	0
0	0.24163318	0.94135207	2.5605162e-10	0.051	0	0
0	0.2451613	0.9403827	-1.02519986e-10	0.052	0	0
0	0.24868828	0.9394002	-1.0172526e-10	0.052999996	0	0
0	0.25221238	0.938405	-2.0345052e-10	0.054	0	0
0	0.25573355	0.937397	1.0172526e-10	0.055	0	0
0	0.25925195	0.9363763	3.0517577e-10	0.056	0	0
0	0.26276702	0.9353429	-3.7034353e-10	0.057	0	0
0	0.2662793	0.93429685	-1.9997358e-10	0.058	0	0
0	0.26978844	0.93323815	-1.0172526e-10	0.059000008	0	0
0	0.2732949	0.93216634	0	0.059999995	0	0
0	0.27679804	0.93108207	1.5586614e-10	0.061000008	0	0
0	0.28029847	0.929985	6.1035155e-10	0.061999995	0	0
0	0.28379554	0.9288748	2.0980835e-10	0.06300001	0	0
0	0.28729063	0.9277518	2.0345052e-10	0.064	0	0
0	0.29078224	0.92661583	2.0345052e-10	0.065	0	0
0	0.29427078	0.9254672	1.0172526e-10	0.06599999	0	0
0	0.29775652	0.92430544	2.2252401e-11	0.06700001	0	0
0	0.3012393	0.92313075	0	0.06800001	0	0
0	0.30471897	0.9219431	2.0662944e-10	0.069	0	0
0	0.3081955	0.9207427	-3.0517577e-10	0.07	0	0
0	0.31166956	0.91952884	3.4650166e-10	0.071	0	0
0	0.31514022	0.9183023	-2.336502e-10	0.072	0	0
0	0.31860816	0.9170624	-3.0517577e-10	0.073	0	0
0	0.322073	0.91580945	0	0.074	0	0
