# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-5.960465e-11	0.9992227	5.8809915e-11	0	0	0
0	0.001041936	0.9992221	-2.193451e-10	0.001	0	0
0	0.0020839095	0.9992202	-8.742015e-12	0.002	0	0
0	0.0031259018	0.9992171	-2.1457672e-10	0.003	0	0
0	0.0041679605	0.9992127	-1.3510386e-10	0.004	0	0
0	0.0052102036	0.99920696	-1.2556711e-10	0.005	0	0
0	0.006252484	0.9992002	-3.0358632e-10	0.006	0	0
0	0.0072950204	0.9991919	-1.3669332e-10	0.007	0	0
0	0.008337661	0.9991825	2.0583471e-10	0.008	0	0
0	0.009380529	0.9991718	2.4239222e-10	0.009	0	0
0	0.010423597	0.9991598	-3.0199687e-11	0.01	0	0
0	0.011466956	0.99914664	1.5258789e-10	0.011000001	0	0
0	0.012510575	0.9991321	-9.536743e-12	0.012	0	0
0	0.013554504	0.99911636	-2.7020773e-11	0.013	0	0
0	0.0145987775	0.9990994	-5.165736e-11	0.014	0	0
0	0.015643422	0.999081	5.2452088e-11	0.014999999	0	0
0	0.016688444	0.99906135	-2.0345052e-10	0.016	0	0
0	0.017733939	0.9990404	3.0199687e-10	0.017000003	0	0
0	0.018779773	0.99901825	-2.3444494e-10	0.018	0	0
0	0.01982619	0.99899477	-1.7881394e-10	0.019	0	0
0	0.020873057	0.9989699	1.5258789e-10	0.02	0	0
0	0.021920517	0.99894387	0	0.021	0	0
0	0.022968495	0.99891645	7.152558e-11	0.022000002	0	0
0	0.024017114	0.9988877	7.033348e-11	0.023	0	0
0	0.025066392	0.9988575	-1.66893e-10	0.024	0	0
0	0.026116269	0.998826	-2.6067098e-10	0.025	0	0
0	0.02716691	0.9987933	-1.446406e-10	0.026	0	0
0	0.028218267	0.99875927	-1.5894572e-11	0.027	0	0
0	0.029270442	0.99872375	-2.8093655e-10	0.028	0	0
0	0.030323366	0.99868685	6.198883e-11	0.029	0	0
