# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-6.236235e-09	0.9902629	3.814697e-11	0	0	0
0	-1.1601647e-08	0.9903163	-2.4636586e-11	0	0.001	0
0	-2.3267269e-08	0.9903694	2.9444694e-10	0	0.002	0
0	-4.1957698e-08	0.9904223	3.1630198e-10	0	0.003	0
0	-7.787943e-08	0.9904749	2.6981037e-10	0	0.004	0
0	-1.3711214e-07	0.9905271	4.4902165e-11	0	0.005	0
0	-2.4809995e-07	0.9905792	-2.5431315e-10	0	0.006	0
0	-4.6803396e-07	0.9906308	-2.5431315e-11	0	0.007	0
0	-8.714329e-07	0.99068207	-8.583069e-11	0	0.008	0
0	8.670362e-07	0.9768306	1.14440915e-10	0	0.009	0
0	-1.6657511e-09	0.97706085	4.1325887e-11	0	0.01	0
0	-1.6276042e-09	0.9772894	2.972285e-10	0	0.011000001	0
0	-2.0345052e-09	0.9775158	-8.106232e-11	0	0.012	0
0	-3.6621093e-09	0.9777403	4.3710074e-11	0	0.013	0
0	-3.0517577e-09	0.9779628	1.4305114e-11	0	0.014	0
0	-2.3523967e-09	0.97818345	3.496806e-11	0	0.014999999	0
0	-1.5258789e-09	0.97840196	-7.629394e-11	0	0.016	0
0	-2.8546652e-09	0.97861874	-1.4106433e-10	0	0.017000003	0
0	-2.6448568e-09	0.97883373	4.2120616e-11	0	0.018	0
0	-1.6276042e-09	0.9790469	-4.4345855e-10	0	0.019	0
0	-5.2134197e-10	0.9792581	-1.9232432e-10	0	0.02	0
0	-3.2202403e-09	0.9794678	1.3828277e-10	0	0.021	0
0	-4.0690105e-09	0.9796761	-6.643931e-10	0	0.022000002	0
0	-3.4077963e-09	0.9798819	-1.557668e-10	0	0.023	0
0	-1.7547608e-09	0.98008627	-1.5179316e-10	0	0.024	0
0	-2.7974447e-09	0.98028904	-4.911423e-10	0	0.025	0
0	-2.0853679e-09	0.9804903	-2.193451e-10	0	0.026	0
0	-2.0853679e-09	0.98068976	-1.2477239e-10	0	0.027	0
0	-6.8155925e-09	0.98088825	9.568533e-10	0	0.028	0
0	-6.612142e-10	0.98108435	5.5472055e-10	0	0.029	0
0	-2.5431315e-09	0.9812794	1.2397766e-10	0	0.029999997	0
0	-3.4332275e-09	0.9814728	-4.4504803e-11	0	0.030999998	0
0	-3.458659e-09	0.9816647	-3.8941703e-10	0	0.032	0
0	-3.306071e-09	0.9818551	-3.814697e-11	0	0.032999996	0
0	-7.6293943e-10	0.98204416	-1.6530355e-10	0	0.034000006	0
0	-3.000895e-09	0.98223186	-7.947286e-11	0	0.035	0
0	-1.0426839e-09	0.9824181	3.814697e-11	0	0.036	0
0	-2.2379558e-09	0.9826029	-3.4014383e-10	0	0.037	0
0	-1.6530355e-09	0.9827865	-1.04904176e-10	0	0.038	0
0	-3.0517577e-09	0.9829686	-2.8610229e-11	0	0.039000005	0
0	-7.3750817e-10	0.98314947	-1.9073486e-10	0	0.04	0
0	-2.3905435e-09	0.98332906	5.5631003e-12	0	0.041000005	0
0	-1.8056233e-09	0.9835074	1.27156575e-11	0	0.042	0
0	-1.6276042e-09	0.98368436	-5.4041546e-11	0	0.043	0
0	-1.4241537e-09	0.9838602	-3.2583873e-11	0	0.044000003	0
0	-2.0853679e-09	0.9840348	1.724561e-10	0	0.045	0
0	-3.5603842e-10	0.9842081	2.8610229e-11	0	0.046	0
0	-4.83195e-10	0.9843803	-2.8769176e-10	0	0.047	0
0	-1.8310546e-09	0.9845514	-2.304713e-11	0	0.048	0
0	-2.746582e-09	0.98472124	1.3669332e-10	0	0.049	0
0	-2.746582e-09	0.98489	1.27156575e-11	0	0.05	0
0	-2.5939941e-09	0.9850576	9.2983246e-11	0	0.051	0
0	-8.138021e-10	0.98522437	6.993612e-11	0	0.052	0
0	-3.1026204e-09	0.98538977	-1.9073486e-10	0	0.052999996	0
0	0	0.98555416	-6.834666e-11	0	0.054	0
0	-3.8146974e-09	0.9857174	2.805392e-10	0	0.055	0
0	-1.5767415e-09	0.98587966	-1.5099843e-11	0	0.056	0
0	-2.1870932e-09	0.98604107	1.8914541e-10	0	0.057	0
0	-4.5776366e-10	0.98620135	1.1761983e-10	0	0.058	0
0	-2.8483074e-09	0.9863607	3.4809114e-10	0	0.059000008	0
0	-2.7974447e-09	0.98651904	-1.3033549e-10	0	0.059999995	0
0	-1.5258789e-10	0.9866766	-1.04904176e-10	0	0.061000008	0
0	-2.2888185e-09	0.9868329	1.1126201e-10	0	0.061999995	0
0	-8.392334e-10	0.9869884	-8.185705e-11	0	0.06300001	0
0	-3.3315022e-09	0.9871431	-1.0331472e-10	0	0.064	0
